name,smiles,prediction
191,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,5.722742214477758
192,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,5.2265444408920345
193,C1=CC2=[SH][Zn]3(ON2C=C1)ON1C=CC=CC1=[SH]3,4.349305372437232
194,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN.Cl,4.449688583658665
195,Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,4.6529111627348065
196,O=c1cc[nH]c(=S)[nH]1,4.28539636649921
197,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,6.573951659002473
198,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,4.627789815866905
199,CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,5.295468923686629
200,COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1,5.005071038461729
201,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2,5.315287243400313
202,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1.Cl,5.070990105723295
